Radio ID,Callsign,Name,Nickname,City,State,Country,Remarks
5500055,ROSTIK,,,,,,
5500099,QASHQAI,,,,,,
5550222,QRAOLD,,,,,,
5566777,TESTCA,,,,,,
5600076,VERESK,,,,,,
5677000,QRA56,,,,,,
5677007,TEMYCH,,,,,,
5677009,KUZMICH,,,,,,
5700057,OREL808,,,,,,
5800030,OLIMP,,,,,,
5800077,SMOG158,,,,,,
5828371,HIRURG,,,,,,
5900111,TAYGA,,,,,,
5900175,CHERMOZ,,,,,,
5902505,FORWARD,,,,,,
5973005,DSPET4R,,,,,,
5973007,ORBIT,,,,,,
5973008,PARTZAN,,,,,,
5973009,DEVYATK,,,,,,
5973011,CMETAHA,,,,,,
5973013,BOROVIK,,,,,,
5973015,ALUPKA1,,,,,,
5973031,SEDOY,,,,,,
5973058,OBERON,,,,,,
5973062,TAIFUN,,,,,,
5973077,ZAPAD77,,,,,,
5973111,HYTERA,,,,,,
5973162,SQUID,,,,,,
5973188,MIX1888,,,,,,
5973203,ALEX203,,,,,,
5973212,TURBINA,,,,,,
5973213,ACROBAT,,,,,,
5973215,ARCTIC,,,,,,
5973220,ROMA220,,,,,,
5973232,SANICH,,,,,,
5973272,TASKENT,,,,,,
5973415,HOLODOK,,,,,,
5973501,QRA1731,,,,,,
5973515,ASPIRIN,,,,,,
5973666,QRABOT,,,,,,
5973717,KAMA,,,,,,
5973723,ORANGE,,,,,,
5973744,NIKON,,,,,,
5973750,GNOM,,,,,,
5973757,SURGUT,,,,,,
5973770,ON770,,,,,,
5973781,PAROVOZ,,,,,,
5973795,ONARKA,,,,,,
5973801,QENERGY,,,,,,
5973817,DIREKTOR,,,,,,
5973842,VOYAGER,,,,,,
5973888,SMOLNY,,,,,,
5973901,DVS001,,,,,,
5973909,TRANSIT,,,,,,
5973911,CMRADUGA,,,,,,
6000001,LESHIY,,,,,,
6100013,DOCTOR,,,,,,
6100061,BORBIST,,,,,,
6100555,SELMASH,,,,,,
6100777,ROSTOV,,,,,,
6102504,BATAYSK,,,,,,
6107007,GSTAR,,,,,,
6107373,TAYNIK,,,,,,
6201488,MARCONI,,,,,,
6201499,BOTANIK,,,,,,
6400555,DEN53,,,,,,
6600001,SHAMAN,,,,,,
6660111,P25DMR,,,,,,
6660222,QRAECHO,,,,,,
6660333,QRAP25,,,,,,
6660444,QRA909,,,,,,
6660555,QRAPOC,,,,,,
6660666,QRALINK,,,,,,
6660667,CAPYBAR,,,,,,
6660777,QRASAO,,,,,,
6660888,QRAZAO,,,,,,
6660999,QRASKLV,,,,,,
6700067,VIRAZH,,,,,,
7000001,SUMRAK,,,,,,
7600001,PRINTER,,,,,,
7700023,BARON,,,,,,
7700024,NAUM,,,,,,
7700025,CCCP,,,,,,
7700030,VETER,,,,,,
7700035,VORON,,,,,,
7700077,WOROBEY,,,,,,
7700100,RADIO,,,,,,
7700101,MARIOTT,,,,,,
7700110,BESS,,,,,,
7700111,MORYAK,,,,,,
7700115,DRIM,,,,,,
7700123,NEMO,,,,,,
7700163,EGER163,,,,,,
7700165,ROO165,,,,,,
7700233,PIZZA,,,,,,
7700292,KARAS,,,,,,
7700327,MEDIC,,,,,,
7700345,CHAJKA,,,,,,
7700500,BOBER,,,,,,
7700524,ANGARA,,,,,,
7700543,PRIMUS,,,,,,
7700545,ANDR545,,,,,,
7700598,CEMP,,,,,,
7700666,BRODYGA,,,,,,
7700777,FIJI,,,,,,
7700850,QRA7787,,,,,,
7700888,PYTHON,,,,,,
7700985,QRATRCK,,,,,,
7700999,ORCA28,,,,,,
7701015,SERAFIM,,,,,,
7701988,INDEEC,,,,,,
7702158,VANDAM,,,,,,
7702202,REVAZ,,,,,,
7702641,RUBIN,,,,,,
7702779,EPSILON,,,,,,
7702785,CACTUS,,,,,,
7703306,ALTAIR,,,,,,
7704077,RADAR,,,,,,
7705778,TUMAN,,,,,,
7800056,AYVENGO,,,,,,
7800305,VALKOD,,,,,,
7800555,BOLTIK,,,,,,
7800996,RYZHYI,,,,,,
7801081,ULUDAG,,,,,,
7801620,SKALD,,,,,,
7806534,OLEG,,,,,,
7809113,KOMYAGA,,,,,,
8000001,NEPTUNE,,,,,,
8000073,MUSEMAN,,,,,,
8200001,KVAK,,,,,,
8600001,LESNIK,,,,,,
9200015,KOSHEY,,,,,,
9200787,SANSEY,,,,,,
9209209,DJON109,,,,,,
9600002,SEVERNY,,,,,,
9601990,LOST,,,,,,
9990,ECHOHBL,,,,,,
9991,ECHOQRA,,,,,,
