"No.",""Radio ID",""Callsign",""Name",""City",""State",""Country",""Remarks",""Call Type",""Call Alert"
"400127","4000001","MOTO","","","","QRA","","",""
"400128","4200042","LYAMKIN","","","","QRA","","",""
"400129","4300001","SHAXTER","","","","QRA","","",""
"400130","4852001","PILOT","","","","QRA","","",""
"400131","5000002","BOTSMAN","","","","QRA","","",""
"400132","5000003","TRESHKN","","","","QRA","","",""
"400133","5000004","GRAF","","","","QRA","","",""
"400134","5000005","TURIST","","","","QRA","","",""
"400135","5000007","RANGER","","","","QRA","","",""
"400136","5000018","GIDRANT","","","","QRA","","",""
"400137","5000097","DIMA97","","","","QRA","","",""
"400138","5000230","MAGNETO","","","","QRA","","",""
"400139","5000261","IKSHA","","","","QRA","","",""
"400140","5000262","SENATOR","","","","QRA","","",""
"400141","5000280","OKROSKA","","","","QRA","","",""
"400142","5000349","KURDEN","","","","QRA","","",""
"400143","5000540","KASPER","","","","QRA","","",""
"400144","5000772","GIHAR","","","","QRA","","",""
"400145","5000941","KIRPICH","","","","QRA","","",""
"400146","5002012","PENZA","","","","QRA","","",""
"400147","5002222","HOKUM","","","","QRA","","",""
"400148","5005522","ZOLOTOY","","","","QRA","","",""
"400149","5500001","DAVID","","","","QRA","","",""
"400150","5500055","ROSTIK","","","","QRA","","",""
"400151","5500099","QASHQAI","","","","QRA","","",""
"400152","5550222","QRAOLD","","","","QRA","","",""
"400153","5566777","TESTCA","","","","QRA","","",""
"400154","5600076","VERESK","","","","QRA","","",""
"400155","5700057","OREL808","","","","QRA","","",""
"400156","5800030","OLIMP","","","","QRA","","",""
"400157","5800077","SMOG158","","","","QRA","","",""
"400158","5900111","TAYGA","","","","QRA","","",""
"400159","5900175","CHERMOZ","","","","QRA","","",""
"400160","5902505","FORWARD","","","","QRA","","",""
"400161","5973005","DSPET4R","","","","QRA","","",""
"400162","5973007","ORBIT","","","","QRA","","",""
"400163","5973008","PARTZAN","","","","QRA","","",""
"400164","5973009","DEVYATK","","","","QRA","","",""
"400165","5973011","CMETAHA","","","","QRA","","",""
"400166","5973013","BOROVIK","","","","QRA","","",""
"400167","5973015","ALUPKA1","","","","QRA","","",""
"400168","5973031","SEDOY","","","","QRA","","",""
"400169","5973058","OBERON","","","","QRA","","",""
"400170","5973062","TAIFUN","","","","QRA","","",""
"400171","5973077","ZAPAD77","","","","QRA","","",""
"400172","5973162","SQUID","","","","QRA","","",""
"400173","5973188","MIX1888","","","","QRA","","",""
"400174","5973203","ALEX203","","","","QRA","","",""
"400175","5973212","TURBINA","","","","QRA","","",""
"400176","5973213","ACROBAT","","","","QRA","","",""
"400177","5973215","ARCTIC","","","","QRA","","",""
"400178","5973220","ROMA220","","","","QRA","","",""
"400179","5973232","SANICH","","","","QRA","","",""
"400180","5973272","TASKENT","","","","QRA","","",""
"400181","5973415","HOLODOK","","","","QRA","","",""
"400182","5973501","QRA1731","","","","QRA","","",""
"400183","5973515","ASPIRIN","","","","QRA","","",""
"400184","5973717","KAMA","","","","QRA","","",""
"400185","5973723","ORANGE","","","","QRA","","",""
"400186","5973744","NIKON","","","","QRA","","",""
"400187","5973750","GNOM","","","","QRA","","",""
"400188","5973757","SURGUT","","","","QRA","","",""
"400189","5973770","ON770","","","","QRA","","",""
"400190","5973777","SOKOL","","","","QRA","","",""
"400191","5973781","PAROVOZ","","","","QRA","","",""
"400192","5973795","ONARKA","","","","QRA","","",""
"400193","5973801","QENERGY","","","","QRA","","",""
"400194","5973817","DIREKTOR","","","","QRA","","",""
"400195","5973842","VOYAGER","","","","QRA","","",""
"400196","5973888","SMOLNY","","","","QRA","","",""
"400197","5973901","DVS001","","","","QRA","","",""
"400198","5973909","TRANSIT","","","","QRA","","",""
"400199","5973911","CMRADUGA","","","","QRA","","",""
"400200","6000001","LESHIY","","","","QRA","","",""
"400201","6100061","BORBIST","","","","QRA","","",""
"400202","6100555","SELMASH","","","","QRA","","",""
"400203","6100777","ROSTOV","","","","QRA","","",""
"400204","6102504","BATAYSK","","","","QRA","","",""
"400205","6107007","GSTAR","","","","QRA","","",""
"400206","6107373","TAYNIK","","","","QRA","","",""
"400207","6201488","MARCONI","","","","QRA","","",""
"400208","6201499","BOTANIK","","","","QRA","","",""
"400209","6400555","DEN53","","","","QRA","","",""
"400210","6600001","SHAMAN","","","","QRA","","",""
"400211","6660333","QRAP25","","","","QRA","","",""
"400212","6660444","QRA909","","","","QRA","","",""
"400213","6660555","QRAPOC","","","","QRA","","",""
"400214","6660666","QRALINK","","","","QRA","","",""
"400215","6660667","CAPYBAR","","","","QRA","","",""
"400216","6660777","QRASAO","","","","QRA","","",""
"400217","6660888","QRAZAO","","","","QRA","","",""
"400218","6660999","QRASKLV","","","","QRA","","",""
"400219","6700067","VIRAZH","","","","QRA","","",""
"400220","7000001","SUMRAK","","","","QRA","","",""
"400221","7600001","PRINTER","","","","QRA","","",""
"400222","7700023","BARON","","","","QRA","","",""
"400223","7700024","NAUM","","","","QRA","","",""
"400224","7700025","CCCP","","","","QRA","","",""
"400225","7700030","VETER","","","","QRA","","",""
"400226","7700100","RADIO","","","","QRA","","",""
"400227","7700101","MARIOTT","","","","QRA","","",""
"400228","7700111","MORYAK","","","","QRA","","",""
"400229","7700123","NEMO","","","","QRA","","",""
"400230","7700165","ROO165","","","","QRA","","",""
"400231","7700327","MEDIC","","","","QRA","","",""
"400232","7700345","CHAJKA","","","","QRA","","",""
"400233","7700500","BOBER","","","","QRA","","",""
"400234","7700524","ANGARA","","","","QRA","","",""
"400235","7700543","PRIMUS","","","","QRA","","",""
"400236","7700545","ANDR545","","","","QRA","","",""
"400237","7700666","BRODYGA","","","","QRA","","",""
"400238","7700777","FIJI","","","","QRA","","",""
"400239","7700850","QRA7787","","","","QRA","","",""
"400240","7700888","PYTHON","","","","QRA","","",""
"400241","7700999","ORCA28","","","","QRA","","",""
"400242","7702202","REVAZ","","","","QRA","","",""
"400243","7702641","RUBIN","","","","QRA","","",""
"400244","7702785","CACTUS","","","","QRA","","",""
"400245","7703306","ALTAIR","","","","QRA","","",""
"400246","7704077","RADAR","","","","QRA","","",""
"400247","7705778","TUMAN","","","","QRA","","",""
"400248","7770348","VITAMIN","","","","QRA","","",""
"400249","7800056","AYVENGO","","","","QRA","","",""
"400250","7800305","VALKOD","","","","QRA","","",""
"400251","7800555","BOLTIK","","","","QRA","","",""
"400252","7801081","ULUDAG","","","","QRA","","",""
"400253","7806534","OLEG","","","","QRA","","",""
"400254","7809113","KOMYAGA","","","","QRA","","",""
"400255","8000001","NEPTUNE","","","","QRA","","",""
"400256","8200001","KVAK","","","","QRA","","",""
"400257","8600001","LESNIK","","","","QRA","","",""
"400258","9200015","KOSHEY","","","","QRA","","",""
"400259","9200787","SANSEY","","","","QRA","","",""
"400260","9601990","LOST","","","","QRA","","",""
